TRANSECTO,TRATAMENTO,PARCELA,LUXIMETRO,VISITAS APIS,IDV. ASPILIA,BAMBURRAL,ALTHERNANTE,QNTDFLORES,DENSIDADE_po,PREFERÊNCIA (A),PREFERÊNCIA (B)
T1,SOL,P1,3200,5,7,0,0,6,30,0,0
T1,SOL,P2,8074,1,5,1,1,11,35,1,0
T1,SOL,P3,856,7,19,1,0,23,65,0,0
T2,SOL,P1,8853,1,3,1,1,4,20,1,1
T2,SOL,P2,1115,3,6,1,0,6,35,0,0
T2,SOL,P3,5945,21,25,1,0,52,65,0,0
T3,SOL,P1,4379,3,7,0,1,12,45,0,0
T3,SOL,P2,12780,0,8,1,0,4,50,0,1
T3,SOL,P3,1500,5,21,1,1,21,45,1,0
T1,SOMBRA,P1,295,0,3,0,0,8,45,0,0
T1,SOMBRA,P2,509,0,4,0,0,12,50,0,0
T1,SOMBRA,P3,552,2,4,0,0,17,60,0,0
T2,SOMBRA,P1,2359,2,9,0,1,15,45,0,0
T2,SOMBRA,P2,1844,2,2,1,0,6,15,0,0
T2,SOMBRA,P3,250,16,13,1,1,15,45,0,0
T3,SOMBRA,P1,2145,2,9,1,1,23,45,0,0
T3,SOMBRA,P2,5800,0,21,0,1,10,35,0,0
T3,SOMBRA,P3,1372,0,4,0,0,5,45,0,0
