embate,nivel_agressividade,tratamento,tempo_de_encontro,local_armazenamento,horario_encontro,ninho,Tamanho
1,3,Fome,12,sem_terra,16:40-16:45,N1,G
1,3,Fome,12,sem_terra,16:40-16:45,N2,P
2,4,Fome,60,sem_terra,17:03-17:05,N1,G
2,4,Fome,60,sem_terra,17:03-17:05,N2,G
3,4,Fome,12,sem_terra,17:37-17:42,N1,G
3,4,Fome,12,sem_terra,17:37-17:42,N2,G
4,3,Fome,20,sem_terra,17:47-17:52,N1,G
4,3,Fome,20,sem_terra,17:47-17:52,N2,G
5,2,Fome,4,sem_terra,17:56-18:00,N1,G
5,2,Fome,4,sem_terra,17:56-18:00,N2,G
6,4,Fome,90,sem_terra,18:05-18:10,N1,G
6,4,Fome,90,sem_terra,18:05-18:10,N2,P
7,4,Fome,142,sem_terra,18:20-18:25,N1,G
7,4,Fome,142,sem_terra,18:20-18:25,N2,P
8,4,Fome,44,sem_terra,18:25-18:34,N1,G
8,4,Fome,44,sem_terra,18:25-18:34,N2,P
9,4,Fome,5,sem_terra,18:39-18:44,N1,G
9,4,Fome,5,sem_terra,18:39-18:44,N2,G
10,2,Fome,300,sem_terra,18:44-18:49,N1,G
10,2,Fome,300,sem_terra,18:44-18:49,N2,P
11,4,Fome,10,sem_terra,19:00-19:05,N1,G
11,4,Fome,10,sem_terra,19:00-19:05,N2,P
12,4,Fome,120,sem_terra,19:51-20:00,N1,G
12,4,Fome,120,sem_terra,19:51-20:00,N2,G
13,4,Fome,120,com_terra,20:12-20:20,N1,G
13,4,Fome,120,com_terra,20:12-20:20,N2,P
14,4,Fome,120,com_terra,20:32-20:38,N1,G
14,4,Fome,120,com_terra,20:32-20:38,N2,P
15,2,Fome,300,com_terra,20:44-20:59,N1,P
15,2,Fome,300,com_terra,20:44-20:59,N2,G
16,4,Fome,10,com_terra,21:07:21:13,N1,G
16,4,Fome,10,com_terra,21:07:21:13,N2,G
17,2,Fome,300,com_terra,21:26-21:30,N1,G
17,2,Fome,300,com_terra,21:26-21:30,N2,G
18,2,Fome,300,com_terra,21:44-21:53,N1,G
18,2,Fome,300,com_terra,21:44-21:53,N2,P
19,2,Fome,300,com_terra,21:58-22:08,N1,P
19,2,Fome,,com_terra,21:58-22:08,N2,G
