Matricula,Q1,Q2,Q3,Q4,Q5,QF,Total,,,Individuo
540593,2,2,2,1.8,1,NA,8.8,,,aluno
542337,2,1,1.4,1,2,NA,7.4,,,aluno
539868,2,1.5,1.8,0.5,1.5,NA,7.3,,,aluno
555042,NA,1.5,2,2,1,1,7.5,,,aluno
538966,2,1.5,2,2,1.5,NA,9,,,aluno
547448,0.8,1,2,0.5,1,NA,5.3,,,aluno
520105,0,1.3,2,0.5,NA,NA,3.8,,,aluno
571130,0.5,1,2,1,1,NA,5.5,,,aluno
569455,NA,NA,2,0.5,2,1,5.5,,,aluno
579787,2,2,0,0,0.6,NA,4.6,,,aluno
553919,NA,0.75,0.5,0.5,0.8,1,3.55,,,aluno
478847,0,2,0.3,0.3,0.5,NA,3.1,,,aluno
547580,0.5,0.75,0.5,0.25,0,NA,2,,,aluno
545591,1.75,1.8,1.8,0,0.5,NA,5.85,,,aluno
540839,0.5,2,1,0.5,0.7,NA,4.7,,,aluno
555395,2,2,1.2,1.5,1,NA,7.7,,,aluno
553522,1.3,2,1.9,1,0.3,NA,6.5,,,aluno
553646,1,NA,1.5,1,2,NA,5.5,,,aluno
553087,0.5,0.8,1.5,0.5,1.5,NA,4.8,,,aluno
539811,1.5,1.5,1,NA,1,NA,5,,,aluno
554314,2,1.7,1.8,0.2,2,NA,7.7,,,aluno
570239,0.25,2,0,0.25,0.5,NA,3,,,aluno
553967,1.6,1.85,1.2,1,2,NA,7.65,,,aluno
552962,NA,1,1.2,1.7,2,1.5,7.4,,,aluno
553092,NA,2,2,1.8,1.5,0.5,7.3,,,aluno
542887,1.9,1.5,1.2,0.5,1.8,NA,6.9,,,aluno
547589,0,1,0,0.5,1,NA,2.5,,,aluno
