Questao,Nota,Individuo,Matricula
Q1,2,aluno,540593
Q1,2,aluno,542337
Q1,2,aluno,539868
Q1,NA,aluno,555042
Q1,2,aluno,538966
Q1,0.8,aluno,547448
Q1,0,aluno,520105
Q1,0.5,aluno,571130
Q1,NA,aluno,569455
Q1,2,aluno,579787
Q1,NA,aluno,553919
Q1,0,aluno,478847
Q1,0.5,aluno,547580
Q1,1.75,aluno,545591
Q1,0.5,aluno,540839
Q1,2,aluno,555395
Q1,1.3,aluno,553522
Q1,1,aluno,553646
Q1,0.5,aluno,553087
Q1,1.5,aluno,539811
Q1,2,aluno,554314
Q1,0.25,aluno,570239
Q1,1.6,aluno,553967
Q1,NA,aluno,552962
Q1,NA,aluno,553092
Q1,1.9,aluno,542887
Q1,0,aluno,547589
Q2,2,aluno,540593
Q2,1,aluno,542337
Q2,1.5,aluno,539868
Q2,1.5,aluno,555042
Q2,1.5,aluno,538966
Q2,1,aluno,547448
Q2,1.3,aluno,520105
Q2,1,aluno,571130
Q2,NA,aluno,569455
Q2,2,aluno,579787
Q2,0.75,aluno,553919
Q2,2,aluno,478847
Q2,0.75,aluno,547580
Q2,1.8,aluno,545591
Q2,2,aluno,540839
Q2,2,aluno,555395
Q2,2,aluno,553522
Q2,NA,aluno,553646
Q2,0.8,aluno,553087
Q2,1.5,aluno,539811
Q2,1.7,aluno,554314
Q2,2,aluno,570239
Q2,1.85,aluno,553967
Q2,1,aluno,552962
Q2,2,aluno,553092
Q2,1.5,aluno,542887
Q2,1,aluno,547589
Q3,2,aluno,540593
Q3,1.4,aluno,542337
Q3,1.8,aluno,539868
Q3,2,aluno,555042
Q3,2,aluno,538966
Q3,2,aluno,547448
Q3,2,aluno,520105
Q3,2,aluno,571130
Q3,2,aluno,569455
Q3,0,aluno,579787
Q3,0.5,aluno,553919
Q3,0.3,aluno,478847
Q3,0.5,aluno,547580
Q3,1.8,aluno,545591
Q3,1,aluno,540839
Q3,1.2,aluno,555395
Q3,1.9,aluno,553522
Q3,1.5,aluno,553646
Q3,1.5,aluno,553087
Q3,1,aluno,539811
Q3,1.8,aluno,554314
Q3,0,aluno,570239
Q3,1.2,aluno,553967
Q3,1.2,aluno,552962
Q3,2,aluno,553092
Q3,1.2,aluno,542887
Q3,0,aluno,547589
Q4,1.8,aluno,540593
Q4,1,aluno,542337
Q4,0.5,aluno,539868
Q4,2,aluno,555042
Q4,2,aluno,538966
Q4,0.5,aluno,547448
Q4,0.5,aluno,520105
Q4,1,aluno,571130
Q4,0.5,aluno,569455
Q4,0,aluno,579787
Q4,0.5,aluno,553919
Q4,0.3,aluno,478847
Q4,0.25,aluno,547580
Q4,0,aluno,545591
Q4,0.5,aluno,540839
Q4,1.5,aluno,555395
Q4,1,aluno,553522
Q4,1,aluno,553646
Q4,0.5,aluno,553087
Q4,NA,aluno,539811
Q4,0.2,aluno,554314
Q4,0.25,aluno,570239
Q4,1,aluno,553967
Q4,1.7,aluno,552962
Q4,1.8,aluno,553092
Q4,0.5,aluno,542887
Q4,0.5,aluno,547589
Q5,1,aluno,540593
Q5,2,aluno,542337
Q5,1.5,aluno,539868
Q5,1,aluno,555042
Q5,1.5,aluno,538966
Q5,1,aluno,547448
Q5,NA,aluno,520105
Q5,1,aluno,571130
Q5,2,aluno,569455
Q5,0.6,aluno,579787
Q5,0.8,aluno,553919
Q5,0.5,aluno,478847
Q5,0,aluno,547580
Q5,0.5,aluno,545591
Q5,0.7,aluno,540839
Q5,1,aluno,555395
Q5,0.3,aluno,553522
Q5,2,aluno,553646
Q5,1.5,aluno,553087
Q5,1,aluno,539811
Q5,2,aluno,554314
Q5,0.5,aluno,570239
Q5,2,aluno,553967
Q5,2,aluno,552962
Q5,1.5,aluno,553092
Q5,1.8,aluno,542887
Q5,1,aluno,547589
QF,NA,aluno,540593
QF,NA,aluno,542337
QF,NA,aluno,539868
QF,1,aluno,555042
QF,NA,aluno,538966
QF,NA,aluno,547448
QF,NA,aluno,520105
QF,NA,aluno,571130
QF,1,aluno,569455
QF,NA,aluno,579787
QF,1,aluno,553919
QF,NA,aluno,478847
QF,NA,aluno,547580
QF,NA,aluno,545591
QF,NA,aluno,540839
QF,NA,aluno,555395
QF,NA,aluno,553522
QF,NA,aluno,553646
QF,NA,aluno,553087
QF,NA,aluno,539811
QF,NA,aluno,554314
QF,NA,aluno,570239
QF,NA,aluno,553967
QF,1.5,aluno,552962
QF,0.5,aluno,553092
QF,NA,aluno,542887
QF,NA,aluno,547589
