coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_1,rur.pent.02,rural,pentecoste,depois_manejo,rico,rur.pent.02.rosa-roxo,1,00:00:03,59,0.13,3574.21,00:00:32,3,0:04:28,
coleta_1,rur.pent.02,rural,pentecoste,depois_manejo,rico,rur.pent.02.rosa-roxo,2,00:00:04,89,0.20,3202.76,00:00:33,6,0:04:27,tabela inclui dados de vespas medidas uma única vez
coleta_1,rur.pent.03,rural,pentecoste,depois_manejo,pobre,rur.pent.03.rosa-roxo,1,00:00:04,35,0.09,3947.14,00:00:08,2,0:04:52,
coleta_1,rur.pent.03,rural,pentecoste,depois_manejo,pobre,rur.pent.03.rosa-roxo,2,00:00:10,126,0.29,5150.20,00:00:23,7,0:04:37,
coleta_1,rur.pent.03,rural,pentecoste,antes_manejo,pobre,rur.pent.03.rosa-verde,1,00:00:16,106,0.26,6128.59,00:00:00,6,0:05:00,
coleta_1,rur.pent.03,rural,pentecoste,antes_manejo,pobre,rur.pent.03.rosa-verde,2,00:00:03,32,0.08,963.30,00:03:40,4,0:01:20,
coleta_1,rur.pent.03,rural,pentecoste,depois_manejo,pobre,rur.pent.03.verde-roxo,1,00:00:00,29,0.07,2653.84,00:01:20,2,0:03:40,
coleta_1,rur.pent.03,rural,pentecoste,depois_manejo,pobre,rur.pent.03.verde-roxo,2,00:00:02,39,0.09,1537.43,00:00:03,2,0:04:57,
coleta_1,urb.pici.01,urbano,fortaleza,antes_manejo,rico,urb.pici.01.cinza-rosa,1,00:00:39,86,0.22,4468.10,00:01:36,7,0:03:24,
coleta_1,urb.pici.01,urbano,fortaleza,antes_manejo,rico,urb.pici.01.cinza-rosa,2,00:00:35,75,0.19,3547.93,00:02:08,6,0:02:52,
coleta_1,urb.pici.01,urbano,fortaleza,depois_manejo,rico,urb.pici.01.verde-amarelo,1,00:00:07,127,0.29,7164.00,00:00:16,7,0:04:44,
coleta_1,urb.pici.01,urbano,fortaleza,depois_manejo,rico,urb.pici.01.verde-amarelo,2,00:00:42,119,0.30,8049.06,00:00:34,8,0:04:26,
coleta_1,urb.pici.02,urbano,fortaleza,depois_manejo,rico,urb.pici.02.branco-branco,1,00:00:09,44,0.11,3418.59,00:00:05,3,0:04:55,
coleta_1,urb.pici.02,urbano,fortaleza,depois_manejo,rico,urb.pici.02.branco-branco,2,00:00:21,92,0.21,3218.59,00:00:21,6,0:04:39,
coleta_1,urb.pici.03,urbano,fortaleza,depois_manejo,rico,urb.pici.03.amarelo-roxo,1,00:00:02,44,0.10,1256.05,00:03:51,4,0:01:09,
coleta_1,urb.pici.03,urbano,fortaleza,depois_manejo,rico,urb.pici.03.amarelo-roxo,2,00:00:15,109,0.25,5338.28,00:01:37,7,0:03:23,
